hour,total_users,present_users,missing_users
00,9,8,1
01,9,8,1
02,9,8,1
03,9,8,1
04,9,8,1
05,9,7,2
06,9,6,3
07,9,7,2
08,9,8,1
09,9,8,1
10,9,8,1
11,9,8,1
12,9,8,1
13,9,8,1
14,9,7,2
15,9,7,2
16,9,8,1
17,9,8,1
18,9,8,1
19,9,8,1
20,9,7,2
21,9,8,1
22,9,7,2
23,9,8,1
