hour,total_users,present_users,missing_users
00,9061,9055,6
01,9061,9055,6
02,9061,9055,6
03,9061,9055,6
04,9061,9055,6
05,9061,9055,6
06,9061,9055,6
07,9061,9055,6
08,9061,9055,6
09,9061,9055,6
10,9061,9055,6
11,9061,9055,6
12,9061,9055,6
13,9061,9055,6
14,9061,9055,6
15,9061,9055,6
16,9061,9055,6
17,9061,9055,6
18,9061,6239,2822
19,9061,9055,6
20,9061,9055,6
21,9061,9055,6
22,9061,9055,6
23,9061,9055,6
